codepoint,name
F130,FONT BASELINE AND SIDE-BEARING MARKER LEFT
F131,FONT BASELINE AND SIDE-BEARING MARKER RIGHT
F132,FONT VERTICAL METRICS MARKER LEFT
F133,FONT VERTICAL METRICS MARKER RIGHT
F134,OPENING LOW RIGHT-ANGLE TEXT BRACKET
F135,CLOSING LOW RIGHT-ANGLE TEXT BRACKET
F170,COMBINING SNAKE BELOW
F171,COMBINING MACRON-ACUTE
F172,COMBINING GRAVE-MACRON
F173,COMBINING MACRON-GRAVE
F174,COMBINING ACUTE-MACRON
F175,COMBINING GRAVE-ACUTE-GRAVE
F176,COMBINING DOUBLE BREVE BELOW
F177,COMBINING DOUBLE MACRON
F178,COMBINING LATIN SMALL LETTER R BELOW
F179,COMBINING ACUTE-GRAVE-ACUTE
F17A,COMBINING DOUBLE DIAERESIS
F17B,COMBINING ALMOST EQUAL TO BELOW
F180,MODIFIER LETTER SMALL M
F181,MODIFIER LETTER SMALL N WITH LEFT HOOK
F182,MODIFIER LETTER SMALL ENG
F183,MODIFIER LETTER SMALL A
F184,MODIFIER LETTER SMALL TURNED A
F185,MODIFIER LETTER SMALL ALPHA
F186,MODIFIER LETTER SMALL B
F187,MODIFIER LETTER SMALL D
F188,MODIFIER LETTER SMALL E
F189,MODIFIER LETTER SMALL SCHWA
F18A,MODIFIER LETTER SMALL OPEN E
F18B,MODIFIER LETTER SMALL REVERSED OPEN E
F18C,MODIFIER LETTER SMALL G
F18D,MODIFIER LETTER SMALL K
F18E,MODIFIER LETTER SMALL O
F18F,MODIFIER LETTER SMALL OPEN O
F190,MODIFIER LETTER SMALL P
F191,MODIFIER LETTER SMALL T
F192,MODIFIER LETTER SMALL U
F193,MODIFIER LETTER SMALL TURNED M
F194,MODIFIER LETTER SMALL V
F195,MODIFIER LETTER CHINANTEC TONE MARK BACKSLASH
F196,MODIFIER LETTER CHINANTEC TONE MARK VERTICAL BAR
F197,MODIFIER LETTER CHINANTEC TONE MARK SLASH
F198,MODIFIER LETTER DOT VERTICAL BAR
F199,MODIFIER LETTER DOT SLASH
F19A,MODIFIER LETTER DOT HORIZONTAL BAR
F19B,MODIFIER LETTER RIGHT CORNER ANGLE
F19C,MODIFIER LETTER RAISED UP ARROW
F19D,MODIFIER LETTER RAISED DOWN ARROW
F19E,MODIFIER LETTER AFRICANIST DOWNSTEP
F19F,MODIFIER LETTER AFRICANIST UPSTEP
F1A0,MODIFIER LETTER SMALL TURNED ALPHA
F1A1,MODIFIER LETTER SMALL AE
F1A2,MODIFIER LETTER SMALL C WITH CURL
F1A3,MODIFIER LETTER SMALL REVERSED E
F1A4,MODIFIER LETTER SMALL CLOSED REVERSED OPEN E
F1A5,MODIFIER LETTER SMALL F
F1A6,MODIFIER LETTER SMALL SCRIPT G
F1A7,MODIFIER LETTER SMALL I WITH STROKE
F1A8,MODIFIER LETTER SMALL CAPITAL I
F1A9,MODIFIER LETTER SMALL DOTLESS J WITH STROKE
F1AA,MODIFIER LETTER SMALL L WITH RETROFLEX HOOK
F1AB,MODIFIER LETTER SMALL O WITH STROKE
F1AC,MODIFIER LETTER SMALL BARRED O
F1AD,MODIFIER LETTER SMALL LIGATURE OE
F1AE,MODIFIER LETTER SMALL CAPITAL OE
F1AF,MODIFIER LETTER SMALL ESH
F1B0,MODIFIER LETTER SMALL U BAR
F1B1,MODIFIER LETTER SMALL UPSILON
F1B2,MODIFIER LETTER SMALL TURNED M WITH LONG LEG
F1B3,MODIFIER LETTER SMALL TURNED V
F1B4,MODIFIER LETTER SMALL CAPITAL Y
F1B5,MODIFIER LETTER SMALL RAMS HORN
F1B6,MODIFIER LETTER SMALL Z
F1B7,MODIFIER LETTER SMALL Z WITH CURL
F1B8,MODIFIER LETTER SMALL EZH
F1B9,MODIFIER LETTER SMALL C
F1BA,MODIFIER LETTER SMALL ETH
F1BB,MODIFIER LETTER SMALL TURNED H
F1BC,MODIFIER LETTER SMALL H WITH STROKE
F1BD,MODIFIER LETTER SMALL J WITH CROSSED-TAIL
F1BE,MODIFIER LETTER SMALL L WITH PALATAL HOOK
F1BF,MODIFIER LETTER SMALL CAPITAL L
F1C0,MODIFIER LETTER SMALL M WITH HOOK
F1C1,MODIFIER LETTER SMALL N WITH RETROFLEX HOOK
F1C2,MODIFIER LETTER SMALL CAPITAL N
F1C3,MODIFIER LETTER SMALL PHI
F1C4,MODIFIER LETTER SMALL S WITH HOOK
F1C5,MODIFIER LETTER SMALL T WITH PALATAL HOOK
F1C6,MODIFIER LETTER SMALL V WITH HOOK
F1C7,MODIFIER LETTER SMALL Z WITH RETROFLEX HOOK
F1C8,MODIFIER LETTER SMALL GLOTTAL STOP
F1C9,MODIFIER LETTER SMALL THETA
F1CA,MODIFIER LETTER SMALL IOTA
F1CB,MODIFIER LETTER SMALL CAPITAL I WITH STROKE
F1CC,MODIFIER LETTER SMALL CAPITAL U
F1CD,MODIFIER LETTER SMALL CAPITAL U BAR
F1CE,MODIFIER LETTER SMALL TURNED Y
F1D0,MODIFIER LETTER EXTRA-HIGH LEFT-STEM TONE BAR
F1D1,MODIFIER LETTER HIGH LEFT-STEM TONE BAR
F1D2,MODIFIER LETTER MID LEFT-STEM TONE BAR
F1D3,MODIFIER LETTER LOW LEFT-STEM TONE BAR
F1D4,MODIFIER LETTER EXTRA-LOW LEFT-STEM TONE BAR
F1D5,MODIFIER LETTER EXTRA-HIGH DOTTED TONE BAR
F1D6,MODIFIER LETTER HIGH DOTTED TONE BAR
F1D7,MODIFIER LETTER MID DOTTED TONE BAR
F1D8,MODIFIER LETTER LOW DOTTED TONE BAR
F1D9,MODIFIER LETTER EXTRA-LOW DOTTED TONE BAR
F1DA,MODIFIER LETTER EXTRA-HIGH DOTTED LEFT-STEM TONE BAR
F1DB,MODIFIER LETTER HIGH DOTTED LEFT-STEM TONE BAR
F1DC,MODIFIER LETTER MID DOTTED LEFT-STEM TONE BAR
F1DD,MODIFIER LETTER LOW DOTTED LEFT-STEM TONE BAR
F1DE,MODIFIER LETTER EXTRA-LOW DOTTED LEFT-STEM TONE BAR
F1DF,MODIFIER LETTER CHINESE TONE YIN PING
F1E0,MODIFIER LETTER CHINESE TONE YIN SHANG
F1E1,MODIFIER LETTER CHINESE TONE YIN QU
F1E2,MODIFIER LETTER CHINESE TONE YIN RU
F1E3,MODIFIER LETTER CHINESE TONE YANG PING
F1E4,MODIFIER LETTER CHINESE TONE YANG SHANG
F1E5,MODIFIER LETTER CHINESE TONE YANG QU
F1E6,MODIFIER LETTER CHINESE TONE YANG RU
F1E7,MODIFIER LETTER LOW CIRCUMFLEX ACCENT
F1E8,MODIFIER LETTER LOW CARON
F1E9,MODIFIER LETTER COLON
F1EA,MODIFIER LETTER SHORT EQUAL
F1F1,MODIFIER LETTER PITCH ONE
F1F2,MODIFIER LETTER PITCH TWO
F1F3,MODIFIER LETTER PITCH THREE
F1F4,MODIFIER LETTER PITCH FOUR
F1F5,MODIFIER LETTER PITCH FIVE
F1F6,MODIFIER LETTER PITCH SIX
F1F7,MODIFIER LETTER PITCH SEVEN
F1F8,MODIFIER LETTER PITCH EIGHT
F1F9,MODIFIER LETTER PITCH NINE
F200,LATIN LETTER SMALL CAPITAL A
F201,LATIN SMALL LETTER D WITH CURL
F202,LATIN LETTER SMALL CAPITAL E
F203,LATIN SMALL LETTER L WITH CURL
F204,LATIN SMALL LETTER N WITH CURL
F205,LATIN SMALL LETTER T WITH CURL
F206,LATIN SMALL LETTER TURNED H WITH FISHHOOK 
F207,LATIN SMALL LETTER TURNED H WITH FISHHOOK AND TAIL
F208,LATIN CAPITAL LETTER SMALL ALPHA
F209,LATIN CAPITAL LETTER SMALL TURNED ALPHA
F20A,LATIN CAPITAL LETTER B WITH STROKE
F20B,LATIN SMALL LETTER C WITH STROKE
F20C,LATIN SMALL LETTER D WITH HOOK AND TAIL
F20D,LATIN CAPITAL LETTER D WITH STROKE AND HOOK
F20E,LATIN SMALL LETTER L WITH DOUBLE BAR
F20F,LATIN CAPITAL LETTER L WITH DOUBLE BAR
F210,LATIN SMALL LETTER P WITH STROKE
F211,LATIN SMALL LETTER Q WITH HOOK TAIL
F212,LATIN CAPITAL LETTER SMALL Q WITH HOOK TAIL
F213,LATIN SMALL LETTER R WITH STROKE
F214,LATIN CAPITAL LETTER R WITH STROKE
F215,LATIN CAPITAL LETTER SMALL R WITH TAIL
F216,LATIN SMALL LETTER ESH WITH RETROFLEX HOOK
F217,LATIN CAPITAL LETTER ESH REVERSED
F218,LATIN CAPITAL LETTER U BAR
F219,LATIN CAPITAL LETTER TURNED V
F21A,LATIN SMALL LETTER W WITH HOOK
F21B,LATIN CAPITAL LETTER W WITH HOOK
F21C,LATIN SMALL LETTER EZH WITH RETROFLEX HOOK
F21D,LATIN SMALL LETTER SALTILLO
F21E,LATIN SMALL LETTER GLOTTAL STOP
F21F,LATIN CAPITAL LETTER L WITH BAR
F220,LATIN SMALL LETTER E WITH STROKE
F221,LATIN CAPITAL LETTER E WITH STROKE
F222,LATIN SMALL LETTER H WITH DESCENDER
F223,LATIN CAPITAL LETTER H WITH DESCENDER
F224,LATIN SMALL LETTER B WITH PALATAL HOOK
F225,LATIN SMALL LETTER C WITH PALATAL HOOK
F226,LATIN SMALL LETTER D WITH PALATAL HOOK
F227,LATIN SMALL LETTER F WITH PALATAL HOOK
F228,LATIN SMALL LETTER G WITH PALATAL HOOK
F229,LATIN SMALL LETTER K WITH PALATAL HOOK
F22A,LATIN SMALL LETTER L WITH PALATAL HOOK
F22B,LATIN SMALL LETTER M WITH PALATAL HOOK
F22C,LATIN SMALL LETTER N WITH PALATAL HOOK
F22D,LATIN SMALL LETTER P WITH PALATAL HOOK
F22E,LATIN SMALL LETTER R WITH PALATAL HOOK
F22F,LATIN SMALL LETTER S WITH PALATAL HOOK
F230,LATIN SMALL LETTER ESH WITH PALATAL HOOK
F231,LATIN SMALL LETTER V WITH PALATAL HOOK
F232,LATIN SMALL LETTER X WITH PALATAL HOOK
F233,LATIN SMALL LETTER Z WITH PALATAL HOOK
F234,LATIN CAPITAL LETTER Z WITH PALATAL HOOK
F235,LATIN SMALL LETTER EZH WITH PALATAL HOOK
F236,LATIN SMALL LETTER A WITH RETROFLEX HOOK
F237,LATIN SMALL LETTER ALPHA WITH RETROFLEX HOOK
F238,LATIN SMALL LETTER E WITH RETROFLEX HOOK
F239,LATIN SMALL LETTER OPEN E WITH RETROFLEX HOOK
F23A,LATIN SMALL LETTER REVERSED OPEN E WITH RETROFLEX HOOK
F23B,LATIN SMALL LETTER SCHWA WITH RETROFLEX HOOK
F23C,LATIN SMALL LETTER I WITH RETROFLEX HOOK
F23D,LATIN SMALL LETTER OPEN O WITH RETROFLEX HOOK
F23E,LATIN SMALL LETTER U WITH RETROFLEX HOOK
F23F,LATIN SMALL CAPITAL LETTER U WITH STROKE
F240,LATIN SMALL LETTER DB DIGRAPH
F241,LATIN SMALL LETTER QP DIGRAPH
F242,LATIN CAPITAL LETTER L WITH MIDDLE TILDE
F243,LATIN SMALL LETTER Y WITH STROKE
F244,LATIN CAPITAL LETTER Y WITH STROKE
F245,LATIN SMALL LETTER TRESILLO
F246,LATIN SMALL LETTER CUATRILLO
F247,LATIN SMALL LETTER AT
F248,LATIN CAPITAL LETTER AT
F249,LATIN SMALL LETTER B WITH MIDDLE TILDE
F24A,LATIN SMALL LETTER D WITH MIDDLE TILDE
F24B,LATIN SMALL LETTER F WITH MIDDLE TILDE
F24C,LATIN SMALL LETTER M WITH MIDDLE TILDE
F24D,LATIN SMALL LETTER N WITH MIDDLE TILDE
F24E,LATIN SMALL LETTER P WITH MIDDLE TILDE
F24F,LATIN SMALL LETTER R WITH MIDDLE TILDE
F250,LATIN SMALL LETTER R WITH FISHHOOK AND MIDDLE TILDE
F251,LATIN SMALL LETTER S WITH MIDDLE TILDE
F252,LATIN SMALL LETTER T WITH MIDDLE TILDE
F253,LATIN SMALL LETTER Z WITH MIDDLE TILDE
F254,LATIN SMALL CAPITAL LETTER I WITH STROKE
F255,LATIN SMALL LETTER UPSILON WITH STROKE
F256,LATIN SMALL LETTER S WITH SWASH TAIL
F257,LATIN SMALL LETTER Z WITH SWASH TAIL
F258,LATIN LETTER SMALL CAPITAL I OVER SMALL SCHWA
F259,LATIN LETTER SMALL UPSILON OVER SMALL SCHWA
F25A,LATIN SMALL LETTER HENG
F25B,LATIN CAPITAL LETTER M WITH HOOK
F25C,LATIN CAPITAL LETTER P WITH STROKE
F25D,LATIN SMALL LETTER IOTA WITH STROKE
F25E,LATIN SMALL LETTER V WITH CURL
F25F,LATIN SMALL LETTER V WITH RIGHT HOOK
F260,LATIN SMALL LETTER J WITH STROKE
F261,LATIN CAPITAL LETTER J WITH STROKE
F262,LATIN SMALL LETTER K WITH DESCENDER
F263,LATIN CAPITAL LETTER K WITH DESCENDER
F264,LATIN SMALL LETTER Z WITH DESCENDER
F265,LATIN CAPITAL LETTER Z WITH DESCENDER
F266,LATIN SMALL LETTER L WITH RETROFLEX HOOK AND BELT
F267,LATIN SMALL LETTER TURNED Y WITH BELT
F268,LATIN LETTER SMALL CAPITAL L WITH BELT
F269,LATIN SMALL LETTER TURNED R WITH LONG LEG AND HOOK
F26A,LATIN CAPITAL LETTER SALTILLO
F26B,LATIN CAPITAL LETTER TURNED H
F26C,LATIN CAPITAL LETTER J WITH CROSSED-TAIL
F26D,LATIN SMALL LETTER B WITH LEFT HOOK
F300,HEBREW REVERSED NUN
F301,HEBREW MARK LOWER DOT
F302,HEBREW ACCENT RIGHT METEG
F303,HEBREW ACCENT LEFT METEG
F320,CYRILLIC CAPITAL LETTER GHE WITH DESCENDER
F321,CYRILLIC SMALL LETTER GHE WITH DESCENDER
F322,CYRILLIC CAPITAL LETTER EL WITH HOOK
F323,CYRILLIC SMALL LETTER EL WITH HOOK
F324,CYRILLIC CAPITAL LETTER HA WITH HOOK
F325,CYRILLIC SMALL LETTER HA WITH HOOK
F326,CYRILLIC CAPITAL LETTER GHE WITH STROKE AND DESCENDER
F327,CYRILLIC SMALL LETTER GHE WITH STROKE AND DESCENDER
F328,CYRILLIC CAPITAL LETTER HA WITH STROKE
F329,CYRILLIC SMALL LETTER HA WITH STROKE
F32A,CYRILLIC CAPITAL LETTER REVERSED ZE
F32B,CYRILLIC SMALL LETTER REVERSED ZE
F32C,CYRILLIC CAPITAL LETTER SHHA WITH DESCENDER
F32D,CYRILLIC SMALL LETTER SHHA WITH DESCENDER